country_name,country_code,year,Tax
Liechtenstein,LI,2013,37.81115429
Luxembourg,LU,2013,
Mexico,MX,2013,
Netherlands,NL,2013,
Norway,NO,2013,94.58253227
Poland,PL,2013,0.085645245
Portugal,PT,2013,
Singapore,SG,2013,
Slovenia,SI,2013,18.4392
South Africa,ZA,2013,
Spain,ES,2013,
Sweden,SE,2013,165.7407692
Switzerland,CH,2013,37.81115429
Ukraine,UA,2013,
Uruguay,UY,2013,
Albania,AL,2013,
China,CN,2013,
Hungary,HU,2013,
Mexico,MX,2013,
Andorra,AD,2013,
Argentina,AR,2014,
Canada,CA,2014,
Chile,CL,2014,
Colombia,CO,2014,
Denmark,DK,2014,30.57338962
Estonia,EE,2014,2.758
Finland,FI,2014,79.982
France,FR,2014,9.653
Iceland,IS,2014,20.2779968
Ireland,IE,2014,27.56416548
Israel,IL,2014,
Japan,JP,2014,1.710901166
Latvia,LV,2014,3.93015
Liechtenstein,LI,2014,40.76548522
Luxembourg,LU,2014,
Mexico,MX,2014,
Netherlands,NL,2014,
Norway,NO,2014,92.52585528
Poland,PL,2014,0.092317837
Portugal,PT,2014,
Singapore,SG,2014,
Slovenia,SI,2014,19.8576
South Africa,ZA,2014,
Spain,ES,2014,27.58
Sweden,SE,2014,167.4210951
Switzerland,CH,2014,67.94247537
Ukraine,UA,2014,
Uruguay,UY,2014,
Albania,AL,2014,
China,CN,2014,
Hungary,HU,2014,
Mexico,MX,2014,
Andorra,AD,2014,
Argentina,AR,2015,
Canada,CA,2015,
Chile,CL,2015,
Colombia,CO,2015,
Denmark,DK,2015,24.25776611
Estonia,EE,2015,2.151
Finland,FI,2015,62.379
France,FR,2015,15.59475
Iceland,IS,2015,16.20887554
Ireland,IE,2015,21.49765045
Israel,IL,2015,
Japan,JP,2015,1.472986773
Latvia,LV,2015,3.76425
Liechtenstein,LI,2015,37.17472119
Luxembourg,LU,2015,
Mexico,MX,2015,3.115361951
Netherlands,NL,2015,
Norway,NO,2015,68.31598619
Poland,PL,2015,0.07743865
Portugal,PT,2015,
Singapore,SG,2015,
Slovenia,SI,2015,18.58464
South Africa,ZA,2015,
Spain,ES,2015,21.51
Sweden,SE,2015,129.8114257
Switzerland,CH,2015,61.95786865
Ukraine,UA,2015,
Uruguay,UY,2015,
Albania,AL,2015,
China,CN,2015,
Hungary,HU,2015,
Mexico,MX,2015,
Andorra,AD,2015,
Argentina,AR,2016,
Canada,CA,2016,
Chile,CL,2016,
Colombia,CO,2016,
Denmark,DK,2016,26.08501327
Estonia,EE,2016,2.2864
Finland,FI,2016,66.3056
France,FR,2016,25.1504
Iceland,IS,2016,18.60878151
Ireland,IE,2016,22.85087308
Israel,IL,2016,
Japan,JP,2016,2.393590378
Latvia,LV,2016,4.0012
Liechtenstein,LI,2016,87.58210823
Luxembourg,LU,2016,
Mexico,MX,2016,2.777923866
Netherlands,NL,2016,
Norway,NO,2016,65.87870568
Poland,PL,2016,0.077971661
Portugal,PT,2016,
Singapore,SG,2016,
Slovenia,SI,2016,19.77736
South Africa,ZA,2016,
Spain,ES,2016,22.864
Sweden,SE,2016,137.8291903
Switzerland,CH,2016,87.58210823
Ukraine,UA,2016,0.012692308
Uruguay,UY,2016,
Albania,AL,2016,
China,CN,2016,
Hungary,HU,2016,
Mexico,MX,2016,
Andorra,AD,2016,
Argentina,AR,2017,
Canada,CA,2017,
Chile,CL,2017,5
Colombia,CO,2017,5.207904198
Denmark,DK,2017,24.54232835
Estonia,EE,2017,2.1382
Finland,FI,2017,62.0078
France,FR,2017,32.60755
Iceland,IS,2017,21.1909866
Ireland,IE,2017,21.36972394
Israel,IL,2017,
Japan,JP,2017,2.396794649
Latvia,LV,2017,4.81095
Liechtenstein,LI,2017,83.91608392
Luxembourg,LU,2017,
Mexico,MX,2017,2.645352818
Netherlands,NL,2017,
Norway,NO,2017,66.81670301
Poland,PL,2017,0.073501755
Portugal,PT,2017,
Singapore,SG,2017,
Slovenia,SI,2017,18.49543
South Africa,ZA,2017,
Spain,ES,2017,21.382
Sweden,SE,2017,126.4915933
Switzerland,CH,2017,83.91608392
Ukraine,UA,2017,0.013668267
Uruguay,UY,2017,
Albania,AL,2017,
China,CN,2017,
Hungary,HU,2017,
Mexico,MX,2017,
Andorra,AD,2017,
Argentina,AR,2018,8.914348161
Canada,CA,2018,
Chile,CL,2018,5
Colombia,CO,2018,5.67041516
Denmark,DK,2018,28.59632235
Estonia,EE,2018,2.4642
Finland,FI,2018,89.9433
France,FR,2018,54.95166
Iceland,IS,2018,36.67678942
Ireland,IE,2018,24.62785227
Israel,IL,2018,
Japan,JP,2018,2.529059614
Latvia,LV,2018,5.54445
Liechtenstein,LI,2018,100.3344482
Luxembourg,LU,2018,
Mexico,MX,2018,2.902568513
Netherlands,NL,2018,
Norway,NO,2018,79.9763414
Poland,PL,2018,0.085404789
Portugal,PT,2018,
Singapore,SG,2018,
Slovenia,SI,2018,21.31533
South Africa,ZA,2018,
Spain,ES,2018,24.642
Sweden,SE,2018,141.1550792
Switzerland,CH,2018,100.3344482
Ukraine,UA,2018,0.015442561
Uruguay,UY,2018,
Albania,AL,2018,
China,CN,2018,
Hungary,HU,2018,
Mexico,MX,2018,
Andorra,AD,2018,
Argentina,AR,2019,6.187569488
Canada,CA,2019,14.99587613
Chile,CL,2019,5
Colombia,CO,2019,5.172634562
Denmark,DK,2019,26.15307449
Estonia,EE,2019,2.2472
Finland,FI,2019,86.5172
France,FR,2019,50.11256
Iceland,IS,2019,35.47428355
Ireland,IE,2019,22.45909814
Israel,IL,2019,
Japan,JP,2019,2.417724527
